Rank,Person,Total Gross,Number of Movies,Average Gross,Highest Gross Movie,Gross
405,Wellesley Wild,$218.8,1,$218.8,Ted,$218.8
406,Virginie Silla,$218.8,6,$36.5,Lucy,$126.7
407,Alex Schwartz,$217.8,3,$72.6,Mr. Peabody & Sherman,$111.5
408,Tim Johnson,$217.6,1,$217.6,How to Train Your Dragon,$217.6
409,David Klawans,$216.2,2,$108.1,Argo,$136.0
410,Rick Alvarez,$212.5,5,$42.5,White Chicks,$70.8
411,David Bloomfield,$212.2,4,$53.0,Knowing,$80.0
412,Rodney M. Liber,$210.6,5,$42.1,Big Momma's House,$117.6
413,Mark Bomback,$208.5,1,$208.5,Dawn of the Planet of the Apes,$208.5
414,Ari Handel,$208.2,2,$104.1,Black Swan,$107.0
415,Rodney Rothman,$206.0,5,$41.2,Forgetting Sarah Marshall,$63.2
416,Brendan O'Brien,$205.6,2,$102.8,Neighbors,$150.2
417,Rob Hardy,$205.4,3,$68.5,Think Like a Man,$91.5
418,Steven Paul,$203.8,8,$25.5,Ghost Rider,$115.8
419,"George Tillman, Jr.",$202.6,6,$33.8,Barbershop,$75.8
420,Brian Rogers,$200.7,1,$200.7,Godzilla,$200.7
421,Peter Berg,$198.9,4,$49.7,Hercules,$72.7
422,James L. Brooks,$197.6,2,$98.8,The Simpsons Movie,$183.1
423,Lee Daniels,$197.4,5,$39.5,The Butler,$116.6
424,Phil Lord,$191.7,1,$191.7,22 Jump Street,$191.7
425,Chris Miller (II),$191.7,1,$191.7,22 Jump Street,$191.7
426,Paul Haggis,$190.0,4,$47.5,Million Dollar Baby,$100.5
427,Jane Hartwell,$187.2,1,$187.2,The Croods,$187.2
428,Steven M. Rales,$186.3,12,$15.5,The Grand Budapest Hotel,$59.3
429,Gary W. Goldstein,$185.2,5,$37.0,Under Siege,$83.6
430,Paul Harris Boardman,$185.0,3,$61.7,The Day the Earth Stood Still,$79.4
431,Jason Moore,$184.3,1,$184.3,Pitch Perfect 2,$184.3
432,Lilly & Lana Wachowski,$183.1,4,$45.8,V for Vendetta,$70.5
433,Roland Emmerich,$180.9,4,$45.2,Independence Day: Resurgence,$103.1
434,Richard Donner,$179.9,1,$179.9,X-Men Origins: Wolverine,$179.9
435,John Pogue,$179.6,2,$89.8,Fast and the Furious,$144.5
436,Casey Silver,$179.3,4,$44.8,Ladder 49,$74.5
437,Jason Segel,$178.4,3,$59.5,The Muppets,$88.6
438,JoAnne Sellar,$178.1,10,$17.8,There Will Be Blood,$40.2
439,Jason Hoffs,$178.1,2,$89.0,Edge of Tomorrow,$100.2
440,John Sloss,$177.0,49,$3.6,Boyhood,$25.4
441,Dean DeBlois,$177.0,1,$177.0,How to Train Your Dragon 2,$177.0
442,Chris Sanders,$177.0,1,$177.0,How to Train Your Dragon 2,$177.0
443,Joe Johnston,$176.7,1,$176.7,Captain America,$176.7
444,The Farrelly Bros.,$175.6,3,$58.5,Dumb and Dumber To,$86.2
445,Jordan Peele,$175.5,1,$175.5,Get Out,$175.5
446,Nicolas Cage,$174.4,9,$19.4,The Sorcerer's Apprentice,$63.2
447,Richard P. Rubinstein,$174.3,7,$24.9,Dawn of the Dead,$59.0
448,Jay Roach,$174.0,2,$87.0,Sisters,$87.0
449,Polly Johnsen,$172.2,4,$43.0,Wrath of the Titans,$83.7
450,Steven Lisberger,$172.1,1,$172.1,Tron Legacy,$172.1
451,Andrew Rona,$171.5,4,$42.9,Non-Stop,$92.2
452,Ron Schmidt,$170.5,8,$21.3,Letters to Juliet,$53.0
453,Brunson Green,$169.7,2,$84.9,The Help,$169.7
454,Tate Taylor,$169.7,2,$84.9,The Help,$169.7
455,Stephanie Allain,$169.4,12,$14.1,Good Boy!,$37.7
456,Sonny Mallhi,$168.2,4,$42.0,The Strangers,$52.6
457,Ben Affleck,$167.2,6,$27.9,Argo,$136.0
458,Ted Hope,$165.3,36,$4.6,In the Bedroom,$35.9
459,Craig Mazin,$164.3,4,$41.1,Scary Movie 4,$90.7
460,Mark Brown,$163.3,4,$40.8,Barbershop,$75.8
461,Paul Tibbitt,$163.0,1,$163.0,SpongeBob,$163.0
462,Matt Damon,$162.9,4,$40.7,Jason Bourne,$162.4
463,Paul Greengrass,$162.4,1,$162.4,Jason Bourne,$162.4
464,Joe Hartwick Jr.,$155.8,2,$77.9,The Maze Runner,$102.4
465,Baz Luhrmann,$153.3,3,$51.1,Moulin Rouge!,$57.4
466,Alex Heineman,$151.8,3,$50.6,Non-Stop,$92.2
467,Greg Berlanti,$151.7,2,$75.8,Green Lantern,$116.6
468,Tony DeRosa-Grund,$151.7,2,$75.8,The Conjuring,$137.4
469,James Keach,$151.5,6,$25.3,Walk the Line,$119.5
470,Jason Reitman,$150.9,8,$18.9,Up in the Air,$83.8
471,Sean Anders,$150.4,1,$150.4,Daddy's Home,$150.4
472,Andrew J. Cohen,$150.2,1,$150.2,Neighbors,$150.2
473,Timur Bekmambetov,$150.1,6,$25.0,Abraham Lincoln,$37.5
474,Eric Warren Singer,$150.1,1,$150.1,American Hustle,$150.1
475,Charles Shyer,$150.0,4,$37.5,Private Benjamin,$69.8
