Rank,Person,Total Gross,Number of Movies,Average Gross,Highest Gross Movie,Gross
101,Jon Lucas,$628.8,8,$78.6,The Hangover,$277.3
102,Scott Moore,$628.8,8,$78.6,The Hangover,$277.3
103,Christopher McQuarrie,$620.6,8,$77.6,M:I - Rogue Nation,$195.0
104,Brad Bird,$617.4,5,$123.5,The Incredibles,$261.4
105,Rhett Reese,$594.3,5,$118.9,Deadpool,$363.1
106,John Lee Hancock,$593.2,7,$84.7,The Blind Side,$256.0
107,Joel Cohen,$591.7,10,$59.2,Toy Story,$191.8
108,Paul Wernick,$591.4,4,$147.9,Deadpool,$363.1
109,Alec Sokolow,$590.8,8,$73.8,Toy Story,$191.8
110,Jennifer Lee,$590.2,2,$295.1,Frozen,$400.7
111,Woody Allen,$590.1,44,$13.4,Midnight in Paris,$56.8
112,Eric Darnell,$590.0,3,$196.7,Madagascar 3,$216.4
113,Richard LaGravenese,$584.0,16,$36.5,Unbroken,$115.6
114,Stephen Sommers,$583.5,9,$64.8,Mummy Returns,$202.0
115,William Nicholson,$583.2,12,$48.6,Gladiator,$187.7
116,Charles Shyer,$582.9,13,$44.8,Smokey and the Bandit,$126.7
117,Karey Kirkpatrick,$582.4,9,$64.7,Over the Hedge,$155.0
118,George Miller,$574.0,9,$63.8,Happy Feet,$198.0
