Rank,Person,Total Gross,Number of Movies,Average Gross,Highest Gross Movie,Gross
559,Ron Livingston,$485.8,27,$18.0,The Conjuring,$137.4
560,Rooney Mara,$485.8,19,$25.6,Girl with the Dragon Tattoo,$102.5
561,Blake Lively,$485.0,11,$44.1,Green Lantern,$116.6
562,Chris Klein,$481.6,14,$34.4,American Pie 2,$145.1
563,James Garner,$481.5,13,$37.0,Maverick,$101.6
564,Hailee Steinfeld,$480.4,12,$40.0,Pitch Perfect 2,$184.3
565,Jaden Smith,$480.0,4,$120.0,The Karate Kid,$176.6
566,Mary Elizabeth Winstead,$479.9,17,$28.2,Live Free or Die Hard,$134.5
567,Virginia Madsen,$476.0,31,$15.4,Sideways,$71.5
568,Hilary Swank,$475.9,18,$26.4,Million Dollar Baby,$100.5
569,Mindy Kaling,$470.9,3,$157.0,Inside Out,$356.5
570,Emma Roberts,$467.2,17,$27.5,We're the Millers,$150.4
571,Rebel Wilson,$467.1,7,$66.7,Pitch Perfect 2,$184.3
572,Clark Duke,$466.9,9,$51.9,The Croods,$187.2
573,Mandy Moore,$465.8,13,$35.8,Tangled,$200.8
574,Woody Allen,$461.3,27,$17.1,Antz,$90.8
575,Raven-Symone,$460.5,6,$76.8,Doctor Dolittle,$144.2
576,Tessa Thompson,$460.4,4,$115.1,Thor: Ragnarok,$294.1
577,Jason Schwartzman,$457.2,23,$19.9,Saving Mr. Banks,$83.3
578,Lily Tomlin,$451.6,20,$22.6,9 to 5,$103.3
579,Kate Mara,$450.8,14,$32.2,The Martian,$228.4
580,Ty Burrell,$444.9,10,$44.5,The Incredible Hulk,$134.8
