,FCP,MAE,RMSE,k,similarity_metric,user-based?,algorithm
197,0.69331611161,0.739844545862,0.942044097481,80,msd,False,100k_KNNWithZScore_Results.csv
198,0.693271284894,0.740442389379,0.942577575018,90,msd,False,100k_KNNWithZScore_Results.csv
199,0.693009236888,0.740850202047,0.942939353066,100,msd,False,100k_KNNWithZScore_Results.csv
200,0.670464751158,0.767141722461,0.981446284223,10,pearson,True,100k_KNNWithZScore_Results.csv
201,0.686366826704,0.752517758192,0.962446751659,20,pearson,True,100k_KNNWithZScore_Results.csv
202,0.691329660882,0.748316312034,0.956881789652,30,pearson,True,100k_KNNWithZScore_Results.csv
203,0.692833829007,0.746489669527,0.954689409752,40,pearson,True,100k_KNNWithZScore_Results.csv
204,0.693418803139,0.745845953591,0.953903026971,50,pearson,True,100k_KNNWithZScore_Results.csv
205,0.693179842503,0.745642653997,0.953586895642,60,pearson,True,100k_KNNWithZScore_Results.csv
206,0.69342939844,0.745495797747,0.953410204144,70,pearson,True,100k_KNNWithZScore_Results.csv
207,0.693285722828,0.745532777034,0.953411147107,80,pearson,True,100k_KNNWithZScore_Results.csv
208,0.693472142253,0.745610714637,0.953481211362,90,pearson,True,100k_KNNWithZScore_Results.csv
209,0.693444514006,0.745671402485,0.953554056926,100,pearson,True,100k_KNNWithZScore_Results.csv
210,0.666521422466,0.770844620531,0.982474261712,10,pearson,False,100k_KNNWithZScore_Results.csv
211,0.681935675566,0.753688427865,0.961178898862,20,pearson,False,100k_KNNWithZScore_Results.csv
212,0.687879613024,0.747756178465,0.953803121912,30,pearson,False,100k_KNNWithZScore_Results.csv
213,0.690892815473,0.745510596129,0.950985141627,40,pearson,False,100k_KNNWithZScore_Results.csv
214,0.692528007176,0.744533901889,0.949608470308,50,pearson,False,100k_KNNWithZScore_Results.csv
215,0.693145954123,0.74401324704,0.94899757454,60,pearson,False,100k_KNNWithZScore_Results.csv
216,0.693718572858,0.743761605671,0.948642095232,70,pearson,False,100k_KNNWithZScore_Results.csv
217,0.694075962991,0.743640936523,0.948457993656,80,pearson,False,100k_KNNWithZScore_Results.csv
218,0.694266020917,0.743548222225,0.948350010678,90,pearson,False,100k_KNNWithZScore_Results.csv
219,0.694348911611,0.743541352782,0.948312391484,100,pearson,False,100k_KNNWithZScore_Results.csv
220,0.686736886786,0.742897250389,0.95898183957,10,pearson_baseline,True,100k_KNNWithZScore_Results.csv
221,0.692223357282,0.737102362738,0.949045096162,20,pearson_baseline,True,100k_KNNWithZScore_Results.csv
222,0.692996945216,0.736523297355,0.947079269231,30,pearson_baseline,True,100k_KNNWithZScore_Results.csv
223,0.693725726258,0.736758500248,0.946708953579,40,pearson_baseline,True,100k_KNNWithZScore_Results.csv
224,0.693775681319,0.737073639796,0.946762042269,50,pearson_baseline,True,100k_KNNWithZScore_Results.csv
225,0.693900467043,0.737440833709,0.947002338797,60,pearson_baseline,True,100k_KNNWithZScore_Results.csv
226,0.693935003538,0.737676238078,0.947115697278,70,pearson_baseline,True,100k_KNNWithZScore_Results.csv
227,0.694047659671,0.737887102714,0.947263871658,80,pearson_baseline,True,100k_KNNWithZScore_Results.csv
228,0.694090399823,0.738000662555,0.947343790829,90,pearson_baseline,True,100k_KNNWithZScore_Results.csv
229,0.694125344096,0.738077188836,0.947390852458,100,pearson_baseline,True,100k_KNNWithZScore_Results.csv
230,0.702486755163,0.738926805604,0.948669800146,10,pearson_baseline,False,100k_KNNWithZScore_Results.csv
231,0.708171928428,0.73211248926,0.9376515458,20,pearson_baseline,False,100k_KNNWithZScore_Results.csv
232,0.709030336686,0.731394005366,0.935988073495,30,pearson_baseline,False,100k_KNNWithZScore_Results.csv
233,0.70883882718,0.731464471397,0.935634336373,40,pearson_baseline,False,100k_KNNWithZScore_Results.csv
234,0.70848838006,0.731660778366,0.935620684677,50,pearson_baseline,False,100k_KNNWithZScore_Results.csv
235,0.708184093781,0.731825137238,0.935660133751,60,pearson_baseline,False,100k_KNNWithZScore_Results.csv
236,0.707845492256,0.731987228097,0.935758767731,70,pearson_baseline,False,100k_KNNWithZScore_Results.csv
237,0.707601672145,0.732122070176,0.935851310121,80,pearson_baseline,False,100k_KNNWithZScore_Results.csv
238,0.707420633112,0.732198470605,0.935910530328,90,pearson_baseline,False,100k_KNNWithZScore_Results.csv
239,0.707242928694,0.732250886797,0.935954455876,100,pearson_baseline,False,100k_KNNWithZScore_Results.csv
240,0.677000075431,0.764606657632,0.966216943221,10,cosine,True,100k_KNNBaseline_Results.csv
241,0.691425397908,0.749057724873,0.947576503449,20,cosine,True,100k_KNNBaseline_Results.csv
242,0.696104873037,0.745368834833,0.942816545351,30,cosine,True,100k_KNNBaseline_Results.csv
243,0.696287316923,0.744106386427,0.941328349891,40,cosine,True,100k_KNNBaseline_Results.csv
244,0.696560576961,0.743840890061,0.940987760001,50,cosine,True,100k_KNNBaseline_Results.csv
245,0.696116308178,0.744027020546,0.941220247716,60,cosine,True,100k_KNNBaseline_Results.csv
246,0.696149918377,0.744187223776,0.941512203643,70,cosine,True,100k_KNNBaseline_Results.csv
247,0.695370324057,0.744545639603,0.942063219944,80,cosine,True,100k_KNNBaseline_Results.csv
248,0.694482243169,0.744819504874,0.942560646195,90,cosine,True,100k_KNNBaseline_Results.csv
249,0.694318169334,0.745175767383,0.942910363782,100,cosine,True,100k_KNNBaseline_Results.csv
250,0.639719303755,0.788154297032,0.997222401017,10,cosine,False,100k_KNNBaseline_Results.csv
251,0.662973083016,0.76383970363,0.966184199968,20,cosine,False,100k_KNNBaseline_Results.csv
252,0.673181239364,0.754921096707,0.955880978013,30,cosine,False,100k_KNNBaseline_Results.csv
253,0.679378283089,0.750499831044,0.950852749485,40,cosine,False,100k_KNNBaseline_Results.csv
254,0.683418077379,0.748251435403,0.947834739187,50,cosine,False,100k_KNNBaseline_Results.csv
255,0.68619241486,0.746902640216,0.946332702244,60,cosine,False,100k_KNNBaseline_Results.csv
256,0.687816059034,0.746471538113,0.945757621161,70,cosine,False,100k_KNNBaseline_Results.csv
257,0.688991388213,0.746290949709,0.945511072833,80,cosine,False,100k_KNNBaseline_Results.csv
258,0.689355272162,0.746401503693,0.945482669764,90,cosine,False,100k_KNNBaseline_Results.csv
259,0.690000671932,0.746600637528,0.945552462039,100,cosine,False,100k_KNNBaseline_Results.csv
260,0.680423800667,0.756673746251,0.95910328654,10,msd,True,100k_KNNBaseline_Results.csv
261,0.693064534603,0.743518925927,0.942648182579,20,msd,True,100k_KNNBaseline_Results.csv
262,0.697239692313,0.740405156152,0.93868847548,30,msd,True,100k_KNNBaseline_Results.csv
263,0.697582101631,0.7394898329,0.937380418895,40,msd,True,100k_KNNBaseline_Results.csv
264,0.696702222145,0.739670623767,0.937426575128,50,msd,True,100k_KNNBaseline_Results.csv
265,0.696876481067,0.740062033801,0.937662193146,60,msd,True,100k_KNNBaseline_Results.csv
266,0.697033230723,0.740465798118,0.938095986776,70,msd,True,100k_KNNBaseline_Results.csv
267,0.696749356869,0.740756530292,0.938461940316,80,msd,True,100k_KNNBaseline_Results.csv
268,0.696317563679,0.741103331948,0.938869162541,90,msd,True,100k_KNNBaseline_Results.csv
269,0.695545026591,0.741534051275,0.939335405973,100,msd,True,100k_KNNBaseline_Results.csv
270,0.658055344757,0.76545715758,0.97367721201,10,msd,False,100k_KNNBaseline_Results.csv
271,0.674807284229,0.747172716464,0.949635051958,20,msd,False,100k_KNNBaseline_Results.csv
272,0.681810227211,0.742199936762,0.943080819832,30,msd,False,100k_KNNBaseline_Results.csv
273,0.685302025395,0.740394662739,0.94024287255,40,msd,False,100k_KNNBaseline_Results.csv
274,0.687573463439,0.73976119305,0.938900194404,50,msd,False,100k_KNNBaseline_Results.csv
275,0.689206913534,0.739577941765,0.938557953275,60,msd,False,100k_KNNBaseline_Results.csv
276,0.689960050241,0.7395860499,0.938445134149,70,msd,False,100k_KNNBaseline_Results.csv
277,0.690552906214,0.739882174016,0.938671888512,80,msd,False,100k_KNNBaseline_Results.csv
278,0.690950820153,0.740242152701,0.93893657024,90,msd,False,100k_KNNBaseline_Results.csv
279,0.690833605218,0.740633446404,0.939276102092,100,msd,False,100k_KNNBaseline_Results.csv
280,0.683962021321,0.760721832087,0.965617467234,10,pearson,True,100k_KNNBaseline_Results.csv
281,0.695040978346,0.746357622995,0.947252235467,20,pearson,True,100k_KNNBaseline_Results.csv
282,0.699650760524,0.741850016843,0.942026577278,30,pearson,True,100k_KNNBaseline_Results.csv
